%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
5.9885083  -1.0447238  1369157200   0.22510439   0.55274147
5.9885083  -1.0447238  1369171600  -0.87019384   0.06886314
5.9885083  -1.0447238  1369186000   0.06361123  -0.96185601
5.9885083  -1.0447238  1369200400   0.72528410   0.22512411
5.9885083  -1.0447238  1369214800  -0.36986569   0.40002435
5.9885083  -1.0447238  1369229200   0.06939831  -0.28451961
5.9885083  -1.0447238  1369243600   0.20899454   0.56466872
5.9885083  -1.0447238  1369258000  -0.87556618   0.04364357
5.9885083  -1.0447238  1369272400   0.09027465  -0.95834553
5.9885083  -1.0447238  1369286800   0.71381032   0.24695279
5.9885083  -1.0447238  1369301200  -0.38004142   0.38465756
5.9885083  -1.0447238  1369315600   0.08594864  -0.28084564
5.9885083  -1.0447238  1369330000   0.19237933   0.57607442
5.9885083  -1.0447238  1369344400  -0.88015884   0.01821878
5.9885083  -1.0447238  1369358800   0.11680440  -0.95400065
5.9885083  -1.0447238  1369373200   0.70168108   0.26834178
5.9885083  -1.0447238  1369387600  -0.38957748   0.36899099
5.9885083  -1.0447238  1369402000   0.10235680  -0.27654070
5.9885083  -1.0447238  1369416400   0.17527547   0.58694136
5.9885083  -1.0447238  1369430800  -0.88396466  -0.00738718
5.9885083  -1.0447238  1369445200   0.14317292  -0.94882870
5.9885083  -1.0447238  1369459600   0.68891996   0.28927547
5.9885083  -1.0447238  1369474000  -0.39846373   0.35304806
5.9885083  -1.0447238  1369488400   0.11859823  -0.27160516
5.9885083  -1.0447238  1369502800   0.15770143   0.59725112
5.9885083  -1.0447238  1369517200  -0.88697630  -0.03314716
