%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta        A_H1         B_H1         C_H1         D_H1
3.4058026  0.3061946   0.10851824   0.23100579  -0.00323214   0.02505790
5.3330664  0.9169721   0.22709471   0.24570580   0.00251882   0.05579214
2.3270546  -0.8331147   0.21319261   0.24417874  -0.00328694   0.05204630
5.8386305  0.2111949   0.09032103   0.23098184   0.00303953   0.02085328
5.4345072  0.0990051   0.08022756   0.22742712   0.00391281   0.01823061
1.3677146  -0.8643203   0.21785079   0.24203765  -0.00114700   0.05272678
5.9604161  -0.8525185   0.22024608   0.25262210  -0.00071058   0.05563852
4.9651401  -0.4896410   0.14828664   0.23834293   0.00199886   0.03533908
5.5041355  0.2850746   0.10103826   0.22945181   0.00417075   0.02316602
1.2129564  -0.5042660   0.14632683   0.22728698  -0.00112549   0.03325692
3.8228273  0.4335827   0.13392042   0.22891383  -0.00215102   0.03065161
0.9000987  -0.6769158   0.18625924   0.23444693   0.00045848   0.04366770
5.2936273  0.9482291   0.23160717   0.24651659   0.00215168   0.05709038
5.0834470  -0.7013508   0.19709373   0.24653625   0.00174187   0.04858771
1.4042243  1.1345553   0.25558004   0.26598123   0.00001399   0.06797949
3.1175630  -0.5552366   0.15821275   0.24049014   0.00074151   0.03804806
4.9280887  1.0202484   0.23930296   0.24866726  -0.00008484   0.05950680
0.1529205  -1.3844271   0.26244718   0.26483291   0.00278533   0.06949689
0.5193863  0.2187190   0.09643374   0.22943753   0.00049566   0.02212527
2.4462801  0.1475827   0.08591165   0.23021077  -0.00273281   0.01977032
5.7913285  -1.3598269   0.26380500   0.26554734  -0.00302472   0.07004357
1.4783012  -0.4102144   0.12489609   0.22469020  -0.00229513   0.02805766
5.3281335  -0.1781057   0.08969176   0.22939985   0.00284757   0.02056717
0.4489670  -0.5398138   0.15721512   0.23455870   0.00338127   0.03686474
5.3584666  -0.3110967   0.11050244   0.23262991   0.00213995   0.02570159
2.6474429  0.6538752   0.18345426   0.24482071   0.00036533   0.04491327
2.6656915  -1.0128150   0.23832887   0.25505400  -0.00210831   0.06078229
5.3013318  0.9329386   0.22945242   0.24602085   0.00227672   0.05644490
