%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta        A_L1         B_L1         C_L1         D_L1
5.2936273  0.9482291   0.18023269   0.17458732   0.00236691   0.03146074
5.0834470  -0.7013508   0.20601267   0.18608029   0.00243916   0.03832895
1.4042243  1.1345553   0.18104753   0.18195595   0.00115960   0.03294133
3.1175630  -0.5552366   0.21024224   0.18686907   0.00167678   0.03928496
4.9280887  1.0202484   0.17791030   0.17397051   0.00165554   0.03094840
0.1529205  -1.3844271   0.17359464   0.17663482   0.00130453   0.03066116
0.5193863  0.2187190   0.24571414   0.18893524  -0.00322189   0.04641368
2.4462801  0.1475827   0.24465089   0.18999445  -0.00508905   0.04645641
5.7913285  -1.3598269   0.17682216   0.17558472  -0.00186478   0.03104379
1.4783012  -0.4102144   0.22772199   0.17984149  -0.00685477   0.04090687
5.3281335  -0.1781057   0.24352700   0.18880434   0.00582176   0.04594506
0.4489670  -0.5398138   0.22366479   0.18455741   0.00156565   0.04127654
5.3584666  -0.3110967   0.23719831   0.18878283   0.00484007   0.04475554
2.6474429  0.6538752   0.21012752   0.18618730  -0.00150130   0.03912082
2.6656915  -1.0128150   0.17730382   0.17744651  -0.00164724   0.03145923
5.3013318  0.9329386   0.18085784   0.17479615   0.00251616   0.03160692
2.3746697  0.3085532   0.23755975   0.18928041  -0.00444644   0.04494564
3.1404228  -0.5973466   0.20669746   0.18630506   0.00199448   0.03850481
0.8755738  -1.0258464   0.18448490   0.17390670  -0.00032096   0.03208306
4.7918702  0.4609246   0.22081913   0.17936727   0.00705629   0.03955793
0.6945159  -0.1407483   0.25247413   0.18711458  -0.00245144   0.04723558
1.1005799  -0.0902922   0.25180447   0.18492532  -0.00525571   0.04653740
3.4872480  -0.7240436   0.20150390   0.18395127   0.00379143   0.03705252
3.3420382  0.2350790   0.24627323   0.18993679  -0.00119970   0.04677491
2.1020746  -1.4449011   0.17496291   0.17262359   0.00121818   0.03020124
6.1705903  -0.5806803   0.21694361   0.18761164   0.00220219   0.04069630
2.4169760  -1.0210440   0.17747304   0.17510287  -0.00208640   0.03107169
